airlineCode,airlineIcons,airlineName,airportCode,airportName,codeShare,delayed,destinationAirportCode,destinationAirportName,destinationCountryCode,estimatedDate,estimatedTime,flight,flightNumber,lastUpdatedDateTime,operatedFlightNumber,operatingAirlineCode,operatingAirlineName,originAirportCode,originAirportName,originCountryCode,scheduledDate,scheduledTime,status,statusCode,temperatureC,temperatureF,weather,weatherIcon,airport,flight_type
Y4,Y4,Volaris,LAX,Los Angeles International Airport,False,False,TIJ,General Abelardo L. Rodriguez International Airport,MX,2026-04-30,08:00:00,Y4 9457,9457,2026-04-30T11:50:20.000Z,9457,Y4,Volaris,LAX,Los Angeles International Airport,US,2026-04-30,09:00:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
OO,OO|CI|LA|LY,SkyWest,LAX,Los Angeles International Airport,False,False,SAN,San Diego International Airport,US,2026-04-30,08:28:00,OO 4018,4018,2026-04-30T15:24:00.000Z,4018,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,Departed,DP,16.0,60.8,Cloudy,07,LAX,departures
CI,CI,China Airlines,LAX,Los Angeles International Airport,True,False,SAN,San Diego International Airport,US,2026-04-30,08:28:00,CI 9152,9152,2026-04-30T15:24:00.000Z,4018,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,Departed,DP,16.0,60.8,Cloudy,07,LAX,departures
LA,LA,LAN Airlines,LAX,Los Angeles International Airport,True,False,SAN,San Diego International Airport,US,2026-04-30,08:28:00,LA 6687,6687,2026-04-30T15:24:00.000Z,4018,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,Departed,DP,16.0,60.8,Cloudy,07,LAX,departures
LY,LY,El Al Israel Airlines,LAX,Los Angeles International Airport,True,False,SAN,San Diego International Airport,US,2026-04-30,08:28:00,LY 4484,4484,2026-04-30T15:24:00.000Z,4018,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:28:00,Departed,DP,16.0,60.8,Cloudy,07,LAX,departures
AA,AA,American Airlines,LAX,Los Angeles International Airport,False,False,CLE,Cleveland Hopkins International Airport,US,2026-04-30,08:30:00,AA 650,650,2026-04-30T14:59:34.000Z,650,AA,American Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
AC,AC|NZ|SN|UA,Air Canada,LAX,Los Angeles International Airport,False,False,YUL,Montreal / Pierre Elliott Trudeau International Airport,CA,2026-04-30,08:30:00,AC 776,776,2026-04-30T14:59:20.000Z,776,AC,Air Canada,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
AS,AS|IB|QF|TN,Alaska Airlines,LAX,Los Angeles International Airport,False,False,OGG,Kahului International Airport,US,2026-04-30,08:30:00,AS 933,933,2026-04-30T13:31:52.000Z,933,AS,Alaska Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
B6,B6|AD|SQ,JetBlue Airways,LAX,Los Angeles International Airport,False,False,FLL,Fort Lauderdale Hollywood International Airport,US,2026-04-30,08:30:00,B6 1700,1700,2026-04-30T15:25:30.000Z,1700,B6,JetBlue Airways,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
DL,DL|VS,Delta Air Lines,LAX,Los Angeles International Airport,False,True,IND,Indianapolis International Airport,US,2026-04-30,08:30:00,DL 909,909,2026-04-30T14:59:40.000Z,909,DL,Delta Air Lines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Delayed,DL,16.0,60.8,Cloudy,07,LAX,departures
NK,NK,Spirit Airlines,LAX,Los Angeles International Airport,False,False,LAS,Harry Reid International Airport,US,2026-04-30,08:30:00,NK 1010,1010,2026-04-30T15:04:46.000Z,1010,NK,Spirit Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
SY,SY,Sun Country Airlines,LAX,Los Angeles International Airport,False,False,KOA,Ellison Onizuka Kona International Airport at Keāhole,US,2026-04-30,08:30:00,SY 8501,8501,2026-04-30T14:59:27.000Z,8501,SY,Sun Country Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
OO,OO|CM,SkyWest,LAX,Los Angeles International Airport,False,False,SEA,Seattle–Tacoma International Airport,US,2026-04-30,08:30:00,OO 5873,5873,2026-04-30T14:59:36.000Z,5873,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
WN,WN,Southwest Airlines,LAX,Los Angeles International Airport,False,False,HOU,William P. Hobby Airport,US,2026-04-30,08:30:00,WN 3828,3828,2026-04-30T14:59:24.000Z,3828,WN,Southwest Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
NZ,NZ,Air New Zealand,LAX,Los Angeles International Airport,True,False,YUL,Montreal / Pierre Elliott Trudeau International Airport,CA,2026-04-30,08:30:00,NZ 4718,4718,2026-04-30T14:59:20.000Z,776,AC,Air Canada,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
SN,SN,Brussels Airlines,LAX,Los Angeles International Airport,True,False,YUL,Montreal / Pierre Elliott Trudeau International Airport,CA,2026-04-30,08:30:00,SN 9598,9598,2026-04-30T14:59:20.000Z,776,AC,Air Canada,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
UA,UA,United Airlines,LAX,Los Angeles International Airport,True,False,YUL,Montreal / Pierre Elliott Trudeau International Airport,CA,2026-04-30,08:30:00,UA 8466,8466,2026-04-30T14:59:20.000Z,776,AC,Air Canada,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
IB,IB,Iberia Airlines,LAX,Los Angeles International Airport,True,False,OGG,Kahului International Airport,US,2026-04-30,08:30:00,IB 7316,7316,2026-04-30T13:31:52.000Z,933,AS,Alaska Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
QF,QF,Qantas,LAX,Los Angeles International Airport,True,False,OGG,Kahului International Airport,US,2026-04-30,08:30:00,QF 3555,3555,2026-04-30T13:31:52.000Z,933,AS,Alaska Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
TN,TN,Air Tahiti Nui,LAX,Los Angeles International Airport,True,False,OGG,Kahului International Airport,US,2026-04-30,08:30:00,TN 2717,2717,2026-04-30T13:31:52.000Z,933,AS,Alaska Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
AD,AD,Azul,LAX,Los Angeles International Airport,True,False,FLL,Fort Lauderdale Hollywood International Airport,US,2026-04-30,08:30:00,AD 7707,7707,2026-04-30T15:25:30.000Z,1700,B6,JetBlue Airways,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
SQ,SQ,Singapore Airlines,LAX,Los Angeles International Airport,True,False,FLL,Fort Lauderdale Hollywood International Airport,US,2026-04-30,08:30:00,SQ 1526,1526,2026-04-30T15:25:30.000Z,1700,B6,JetBlue Airways,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
VS,VS,Virgin Atlantic Airways,LAX,Los Angeles International Airport,True,True,IND,Indianapolis International Airport,US,2026-04-30,08:30:00,VS 2208,2208,2026-04-30T14:59:40.000Z,909,DL,Delta Air Lines,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Delayed,DL,16.0,60.8,Cloudy,07,LAX,departures
CM,CM,Copa Airlines,LAX,Los Angeles International Airport,True,False,SEA,Seattle–Tacoma International Airport,US,2026-04-30,08:30:00,CM 2083,2083,2026-04-30T14:59:36.000Z,5873,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:30:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
UA,UA|AC|AV|AZ,United Airlines,LAX,Los Angeles International Airport,False,False,LIH,Lihue Airport,US,2026-04-30,08:33:00,UA 1295,1295,2026-04-30T15:02:25.000Z,1295,UA,United Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:33:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
AC,AC,Air Canada,LAX,Los Angeles International Airport,True,False,LIH,Lihue Airport,US,2026-04-30,08:33:00,AC 3501,3501,2026-04-30T15:02:25.000Z,1295,UA,United Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:33:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
AV,AV,Avianca S.A. - Aerovias Nacionales de Colombia,LAX,Los Angeles International Airport,True,False,LIH,Lihue Airport,US,2026-04-30,08:33:00,AV 2259,2259,2026-04-30T15:02:25.000Z,1295,UA,United Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:33:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
AZ,AZ,ITA Airways,LAX,Los Angeles International Airport,True,False,LIH,Lihue Airport,US,2026-04-30,08:33:00,AZ 4438,4438,2026-04-30T15:02:25.000Z,1295,UA,United Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:33:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
OO,OO|AS|PR|QF|TN,SkyWest,LAX,Los Angeles International Airport,False,False,DEN,Denver International Airport,US,2026-04-30,08:35:00,OO 4999,4999,2026-04-30T15:04:22.000Z,4999,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:35:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
WN,WN,Southwest Airlines,LAX,Los Angeles International Airport,False,False,MSY,Louis Armstrong New Orleans International Airport,US,2026-04-30,08:35:00,WN 2870,2870,2026-04-30T15:04:32.000Z,2870,WN,Southwest Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:35:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
AS,AS,Alaska Airlines,LAX,Los Angeles International Airport,True,False,DEN,Denver International Airport,US,2026-04-30,08:35:00,AS 4266,4266,2026-04-30T15:04:22.000Z,4999,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:35:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
PR,PR,Philippine Airlines,LAX,Los Angeles International Airport,True,False,DEN,Denver International Airport,US,2026-04-30,08:35:00,PR 3905,3905,2026-04-30T15:04:22.000Z,4999,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:35:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
QF,QF,Qantas,LAX,Los Angeles International Airport,True,False,DEN,Denver International Airport,US,2026-04-30,08:35:00,QF 3306,3306,2026-04-30T15:04:22.000Z,4999,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:35:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
TN,TN,Air Tahiti Nui,LAX,Los Angeles International Airport,True,False,DEN,Denver International Airport,US,2026-04-30,08:35:00,TN 1133,1133,2026-04-30T15:04:22.000Z,4999,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:35:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
F9,F9|Y4,Frontier Airlines,LAX,Los Angeles International Airport,False,False,SMF,Sacramento International Airport,US,2026-04-30,08:36:00,F9 3315,3315,2026-04-30T15:05:27.000Z,3315,F9,Frontier Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
Y4,Y4,Volaris,LAX,Los Angeles International Airport,True,False,SMF,Sacramento International Airport,US,2026-04-30,08:36:00,Y4 2578,2578,2026-04-30T15:05:27.000Z,3315,F9,Frontier Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:36:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
DL,DL|CI|KE|LY|MU|VS,Delta Air Lines,LAX,Los Angeles International Airport,False,True,SFO,San Francisco International Airport,US,2026-04-30,08:40:00,DL 1715,1715,2026-04-30T15:15:33.000Z,1715,DL,Delta Air Lines,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,Delayed,DL,16.0,60.8,Cloudy,07,LAX,departures
OO,OO|CI|LY,SkyWest,LAX,Los Angeles International Airport,False,False,DEN,Denver International Airport,US,2026-04-30,08:40:00,OO 3694,3694,2026-04-30T15:10:14.000Z,3694,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
XE,XE,ExpressJet,LAX,Los Angeles International Airport,False,False,CSW,Cabo San Lucas International Airport,MX,2026-04-30,08:40:00,XE 1084,1084,2026-04-30T09:40:20.000Z,1084,XE,ExpressJet,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,Diverted,DV,16.0,60.8,Cloudy,07,LAX,departures
CI,CI,China Airlines,LAX,Los Angeles International Airport,True,True,SFO,San Francisco International Airport,US,2026-04-30,08:40:00,CI 9169,9169,2026-04-30T15:15:33.000Z,1715,DL,Delta Air Lines,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,Delayed,DL,16.0,60.8,Cloudy,07,LAX,departures
KE,KE,Korean Air,LAX,Los Angeles International Airport,True,True,SFO,San Francisco International Airport,US,2026-04-30,08:40:00,KE 7247,7247,2026-04-30T15:15:33.000Z,1715,DL,Delta Air Lines,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,Delayed,DL,16.0,60.8,Cloudy,07,LAX,departures
LY,LY,El Al Israel Airlines,LAX,Los Angeles International Airport,True,True,SFO,San Francisco International Airport,US,2026-04-30,08:40:00,LY 4488,4488,2026-04-30T15:15:33.000Z,1715,DL,Delta Air Lines,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,Delayed,DL,16.0,60.8,Cloudy,07,LAX,departures
MU,MU,China Eastern Airlines,LAX,Los Angeles International Airport,True,True,SFO,San Francisco International Airport,US,2026-04-30,08:40:00,MU 8687,8687,2026-04-30T15:15:33.000Z,1715,DL,Delta Air Lines,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,Delayed,DL,16.0,60.8,Cloudy,07,LAX,departures
VS,VS,Virgin Atlantic Airways,LAX,Los Angeles International Airport,True,True,SFO,San Francisco International Airport,US,2026-04-30,08:40:00,VS 4105,4105,2026-04-30T15:15:33.000Z,1715,DL,Delta Air Lines,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,Delayed,DL,16.0,60.8,Cloudy,07,LAX,departures
CI,CI,China Airlines,LAX,Los Angeles International Airport,True,False,DEN,Denver International Airport,US,2026-04-30,08:40:00,CI 9889,9889,2026-04-30T15:10:14.000Z,3694,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
LY,LY,El Al Israel Airlines,LAX,Los Angeles International Airport,True,False,DEN,Denver International Airport,US,2026-04-30,08:40:00,LY 4277,4277,2026-04-30T15:10:14.000Z,3694,OO,SkyWest,LAX,Los Angeles International Airport,US,2026-04-30,08:40:00,On Time,ON,16.0,60.8,Cloudy,07,LAX,departures
AS,AS|TN,Alaska Airlines,LAX,Los Angeles International Airport,False,False,SEA,Seattle–Tacoma International Airport,US,2026-04-30,08:45:00,AS 717,717,2026-04-30T15:14:33.000Z,717,AS,Alaska Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:45:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
UA,UA|AC|NZ|VA,United Airlines,LAX,Los Angeles International Airport,False,False,DEN,Denver International Airport,US,2026-04-30,08:45:00,UA 1912,1912,2026-04-30T15:14:35.000Z,1912,UA,United Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:45:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
TN,TN,Air Tahiti Nui,LAX,Los Angeles International Airport,True,False,SEA,Seattle–Tacoma International Airport,US,2026-04-30,08:45:00,TN 2440,2440,2026-04-30T15:14:33.000Z,717,AS,Alaska Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:45:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
AC,AC,Air Canada,LAX,Los Angeles International Airport,True,False,DEN,Denver International Airport,US,2026-04-30,08:45:00,AC 3888,3888,2026-04-30T15:14:35.000Z,1912,UA,United Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:45:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
NZ,NZ,Air New Zealand,LAX,Los Angeles International Airport,True,False,DEN,Denver International Airport,US,2026-04-30,08:45:00,NZ 9473,9473,2026-04-30T15:14:35.000Z,1912,UA,United Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:45:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
VA,VA,Virgin Australia,LAX,Los Angeles International Airport,True,False,DEN,Denver International Airport,US,2026-04-30,08:45:00,VA 8317,8317,2026-04-30T15:14:35.000Z,1912,UA,United Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:45:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
UA,UA|NZ,United Airlines,LAX,Los Angeles International Airport,False,False,BZN,Bozeman Yellowstone International Airport,US,2026-04-30,08:50:00,UA 594,594,2026-04-30T15:19:22.000Z,594,UA,United Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:50:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
NZ,NZ,Air New Zealand,LAX,Los Angeles International Airport,True,False,BZN,Bozeman Yellowstone International Airport,US,2026-04-30,08:50:00,NZ 2909,2909,2026-04-30T15:19:22.000Z,594,UA,United Airlines,LAX,Los Angeles International Airport,US,2026-04-30,08:50:00,Scheduled,SC,16.0,60.8,Cloudy,07,LAX,departures
